1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,78,56,3,3,3,109,2,99,123,3,3,7
1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,78,79,79,56,121,122,123,55,79,79,56
1,1,5,1,11,36,36,36,36,36,36,36,36,36,12,1,1,1,1,1,1,1,66,3,55,79,80,1,1,78
1,1,1,1,24,0,4,4,4,4,0,4,4,0,23,1,5,5,5,5,1,1,78,79,80,1,1,1,1,1
5,5,1,1,24,0,0,4,0,0,4,4,0,0,23,1,1,1,1,5,5,1,1,1,1,1,1,5,5,1
5,1,1,1,24,4,0,8,9,9,9,10,0,4,23,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1
5,5,1,1,24,4,4,23,1,1,1,24,0,4,23,1,5,5,1,1,1,1,11,36,36,36,36,36,36,36
1,5,5,1,24,0,4,23,5,5,1,24,4,4,23,1,1,5,5,5,1,1,24,4,0,0,4,4,0,0
1,1,1,1,24,0,0,23,1,5,1,24,4,0,23,1,1,1,1,1,1,1,24,4,4,4,0,4,4,0
1,1,1,1,24,4,4,23,1,5,1,24,4,4,23,1,1,1,1,1,1,1,24,0,4,8,9,9,9,9
1,1,5,1,24,0,4,23,1,5,1,24,0,0,35,36,36,36,36,36,36,36,37,0,0,23,1,1,1,1
1,1,5,5,24,0,4,23,5,1,1,24,4,0,4,4,4,0,0,4,4,4,0,4,0,23,1,1,1,1
1,1,5,5,24,4,0,23,5,5,1,24,4,0,0,0,4,4,4,0,4,0,0,4,4,23,1,1,1,1
1,5,5,1,24,0,4,23,1,5,5,25,9,9,9,9,9,9,9,9,9,9,9,9,9,26,1,1,1,1
1,5,1,1,24,4,0,23,1,5,5,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1
1,1,1,1,24,4,0,23,1,5,5,1,1,5,5,5,5,5,5,1,1,5,5,1,1,1,1,1,1,1
